id,year,era,country,brand,campaign,agency,writer,director,genre,category,format,why,link
16,1983,1980s,India,NECC,Sunday Ho Ya Monday,Enterprise,,,Brand Film / TVC,Advertising,Film,A category-building public campaign with an exceptionally sticky mnemonic,https://www.youtube.com/results?search_query=NECC+Sunday+Ho+Ya+Monday+Indian+advertisement
17,1983,1980s,India,Taj Mahal Tea,Wah Taj,JWT,,,Brand Film / TVC,Advertising,Film,Indian cultural iconography + Zakir Hussain created premium distinctiveness,https://www.youtube.com/results?search_query=Taj+Mahal+Tea+Wah+Taj+Indian+advertisement
18,1984,1980s,India,Only Vimal,Only Vimal,Mudra Communications,,,Brand Film / TVC,Advertising,Film,Helped redefine Indian fabric advertising around aspiration and modernity,https://www.youtube.com/results?search_query=Only+Vimal+Only+Vimal+Indian+advertisement
19,1984,1980s,India,Surf,Lalitaji,Lowe Lintas,,,Brand Film / TVC,Advertising,Film,Character-led selling: a recognisable homemaker voice made price/value persuasive,https://www.youtube.com/results?search_query=Surf+Lalitaji+Indian+advertisement
20,1984,1980s,India,Tata Salt,Early Tata Salt work,Ogilvy / agencies,,,Brand Film / TVC,Advertising,Film,Trust and purity become a mass-market proposition,https://www.youtube.com/results?search_query=Tata+Salt+Early+Tata+Salt+work+Indian+advertisement
21,1985,1980s,India,Doordarshan,National integration spots,Doordarshan,,,Brand Film / TVC,Advertising,Film,Public communication that shaped a shared Indian visual culture,https://www.youtube.com/results?search_query=Doordarshan+National+integration+spots+Indian+advertisement
22,1985,1980s,India,Hot Shot,Hot Shot Camera,Sista's Advertising,,,Brand Film / TVC,Advertising,Film,Made product ease-of-use feel empowering and memorable,https://www.youtube.com/results?search_query=Hot+Shot+Hot+Shot+Camera+Indian+advertisement
23,1985,1980s,India,Lijjat Papad,Bunny / Lijjat Papad,Unknown,,,Brand Film / TVC,Advertising,Film,A tiny mascot became a national brand asset,https://www.youtube.com/results?search_query=Lijjat+Papad+Bunny+%2F+Lijjat+Papad+Indian+advertisement
24,1986,1980s,India,Charms,The Spirit of Freedom,Contract Advertising,Mohammad Khan,,Brand Film / TVC,Advertising,Film,Lifestyle positioning that gave a cigarette brand a strong youth identity,https://www.youtube.com/results?search_query=Charms+The+Spirit+of+Freedom+Indian+advertisement
25,1986,1980s,India,Gold Spot,The Zing Thing,Lowe Lintas / agencies,,,Brand Film / TVC,Advertising,Film,Youthful language and music helped define Indian soft-drink advertising,https://www.youtube.com/results?search_query=Gold+Spot+The+Zing+Thing+Indian+advertisement
26,1987,1980s,India,Garden Vareli,Saree campaigns,Ambience,,,Brand Film / TVC,Advertising,Film,Fashion advertising that became culturally recognisable,https://www.youtube.com/results?search_query=Garden+Vareli+Saree+campaigns+Indian+advertisement
27,1987,1980s,India,Thums Up,Taste The Thunder,Ogilvy India,,,Brand Film / TVC,Advertising,Film,A locally distinctive cola identity instead of copying Western Coke/Pepsi cues,https://www.youtube.com/results?search_query=Thums+Up+Taste+The+Thunder+Indian+advertisement
28,1988,1980s,India,Fevicol,Fevicol Ka Jod,Ogilvy India,Piyush Pandey team,,Brand Film / TVC,Advertising,Film,The beginning of one of India's greatest long-running brand platforms: benefit turned into humour,https://www.youtube.com/results?search_query=Fevicol+Fevicol+Ka+Jod+Indian+advertisement
29,1988,1980s,India,Mile Sur Mera Tumhara,Mile Sur Mera Tumhara,Doordarshan / Ogilvy,"Suresh Mullick, Piyush Pandey contribution",,Brand Film / TVC,Advertising,Film,A cultural communication landmark that made unity singable,https://www.youtube.com/results?search_query=Mile+Sur+Mera+Tumhara+Mile+Sur+Mera+Tumhara+Indian+advertisement
30,1988,1980s,India,Vicks,Khich Khich Door Karo,Ambience,,,Brand Film / TVC,Advertising,Film,Jingle-first advertising at its most memorable,https://www.youtube.com/results?search_query=Vicks+Khich+Khich+Door+Karo+Indian+advertisement
31,1989,1980s,India,Bajaj Auto,Hamara Bajaj,Lowe Lintas,Piyush Pandey,,Brand Film / TVC,Advertising,Film,"Turned a scooter into a symbol of Indian identity, belonging and aspiration",https://www.youtube.com/results?search_query=Bajaj+Auto+Hamara+Bajaj+Indian+advertisement
32,1989,1980s,India,Bajaj Auto,Hamara Bajaj - extended film,Lowe Lintas,,,Brand Film / TVC,Advertising,Film,An advertising film became a piece of popular Indian identity,https://www.youtube.com/results?search_query=Bajaj+Auto+Hamara+Bajaj+-+extended+film+Indian+advertisement
33,1989,1980s,India,Sundrop,Cartwheeling Kid,FCB Ulka,,,Brand Film / TVC,Advertising,Film,Used spectacle to establish sunflower oil in a dominated category,https://www.youtube.com/results?search_query=Sundrop+Cartwheeling+Kid+Indian+advertisement
34,1989,1980s,India,Thums Up,Taste The Thunder,Ogilvy India / Leo Burnett era,Various,,Brand Film / TVC,Advertising,Film,Built a distinctly Indian cola personality around action and masculinity,https://www.youtube.com/results?search_query=Thums+Up+Taste+The+Thunder+Indian+advertisement
35,1990,1990s,India,Eveready,Give Me Red,Rediffusion Y&R,,,Brand Film / TVC,Advertising,Film,A simple colour/energy platform that made batteries feel youthful,https://www.youtube.com/results?search_query=Eveready+Give+Me+Red+Indian+advertisement
36,1990,1990s,India,Raymond,The Complete Man,Nexus Equity,,,Brand Film / TVC,Advertising,Film,"Reframed masculinity around sensitivity, care and quiet confidence",https://www.youtube.com/results?search_query=Raymond+The+Complete+Man+Indian+advertisement
37,1990,1990s,India,Surf,Lalitaji - value series,Lowe Lintas,,,Brand Film / TVC,Advertising,Film,One character can carry an entire strategic proposition,https://www.youtube.com/results?search_query=Surf+Lalitaji+-+value+series+Indian+advertisement
38,1991,1990s,India,Kamasutra,Pooja Bedi / Marc Robinson,Lowe Lintas,,,Brand Film / TVC,Advertising,Film,Provocative category disruption that changed how condoms were advertised,https://www.youtube.com/results?search_query=Kamasutra+Pooja+Bedi+%2F+Marc+Robinson+Indian+advertisement
39,1991,1990s,India,Madhya Pradesh Tourism,MP Ajab Hai,Ogilvy / agencies,,,Brand Film / TVC,Advertising,Film,Destination advertising using poetry and place personality,https://www.youtube.com/results?search_query=Madhya+Pradesh+Tourism+MP+Ajab+Hai+Indian+advertisement
40,1992,1990s,India,Asian Paints,Mera Wala Pink / early family work,Ogilvy / Mudra era,,,Brand Film / TVC,Advertising,Film,Used colour and home emotion to make paint culturally relevant,https://www.youtube.com/results?search_query=Asian+Paints+Mera+Wala+Pink+%2F+early+family+work+Indian+advertisement
41,1992,1990s,India,Raymond,The Complete Man,Nexus Equity,,,Brand Film / TVC,Advertising,Film,An enduring positioning platform built around a social redefinition of masculinity,https://www.youtube.com/results?search_query=Raymond+The+Complete+Man+Indian+advertisement
42,1993,1990s,India,Cadbury Dairy Milk,Kuch Khaas Hai,Ogilvy India,Piyush Pandey / Shantanu Shorey,,Brand Film / TVC,Advertising,Film,Redefined chocolate from children's product to adult indulgence through pure joy,https://www.youtube.com/results?search_query=Cadbury+Dairy+Milk+Kuch+Khaas+Hai+Indian+advertisement
43,1993,1990s,India,Coke India,Always Coca-Cola India,McCann / agencies,,,Brand Film / TVC,Advertising,Film,Global brand platform adapted to local casting and culture,https://www.youtube.com/results?search_query=Coke+India+Always+Coca-Cola+India+Indian+advertisement
44,1993,1990s,India,Pepsi,Yeh Dil Maange More,JWT/Ogilvy era,Various,,Brand Film / TVC,Advertising,Film,A phrase became youth culture; celebrity + attitude created memorability,https://www.youtube.com/results?search_query=Pepsi+Yeh+Dil+Maange+More+Indian+advertisement
45,1994,1990s,India,Cadbury,Kuch Khaas Hai - cricket,Ogilvy India,Piyush Pandey,,Brand Film / TVC,Advertising,Film,One of the clearest examples of brand repositioning through emotion,https://www.youtube.com/results?search_query=Cadbury+Kuch+Khaas+Hai+-+cricket+Indian+advertisement
46,1994,1990s,India,Fevicol,Egg / Unbreakable Egg,Ogilvy India,Piyush Pandey team,,Brand Film / TVC,Advertising,Film,An absurd visual demonstration that communicates product benefit instantly,https://www.youtube.com/results?search_query=Fevicol+Egg+%2F+Unbreakable+Egg+Indian+advertisement
47,1994,1990s,India,Pepsi,Yehi Hai Right Choice Baby,JWT,,,Brand Film / TVC,Advertising,Film,Pop-culture casting and a sticky line made choice feel aspirational,https://www.youtube.com/results?search_query=Pepsi+Yehi+Hai+Right+Choice+Baby+Indian+advertisement
48,1995,1990s,India,Fevikwik,Chutki Mein Chipkaaye,Ogilvy India,Piyush Pandey team,,Brand Film / TVC,Advertising,Film,A product demo became a comic character story,https://www.youtube.com/results?search_query=Fevikwik+Chutki+Mein+Chipkaaye+Indian+advertisement
49,1995,1990s,India,Levi's India,Nothing's Official,Ogilvy / agencies,,,Brand Film / TVC,Advertising,Film,Fashion advertising that sold attitude rather than fabric,https://www.youtube.com/results?search_query=Levi%27s+India+Nothing%27s+Official+Indian+advertisement
50,1995,1990s,India,Tuff Shoes,Milind Soman / Madhu Sapre Python,Publicis Red Lion,,,Brand Film / TVC,Advertising,Film,Controversy and visual shock made a little-known brand impossible to ignore,https://www.youtube.com/results?search_query=Tuff+Shoes+Milind+Soman+%2F+Madhu+Sapre+Python+Indian+advertisement
51,1996,1990s,India,Dalda,Vanaspati legacy ads,HTA / agencies,,,Brand Film / TVC,Advertising,Film,Important Indian FMCG category advertising and mnemonic craft,https://www.youtube.com/results?search_query=Dalda+Vanaspati+legacy+ads+Indian+advertisement
52,1996,1990s,India,Dhara,Jalebi / Ramu Kaka,Mudra Communications,,,Brand Film / TVC,Advertising,Film,One of India's great emotional food ads: a simple human truth drives the product,https://www.youtube.com/results?search_query=Dhara+Jalebi+%2F+Ramu+Kaka+Indian+advertisement
53,1996,1990s,India,Hutch,You & I / early telecom,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Moved telecom advertising away from technology and toward human connection,https://www.youtube.com/results?search_query=Hutch+You+%26+I+%2F+early+telecom+Indian+advertisement
54,1997,1990s,India,BPL,Believe in the Best,Ogilvy / agencies,,,Brand Film / TVC,Advertising,Film,Consumer electronics positioned through aspiration and trust,https://www.youtube.com/results?search_query=BPL+Believe+in+the+Best+Indian+advertisement
55,1997,1990s,India,Close-Up,Kya Aap Close-Up Karte Hain?,Ogilvy / Lowe era,,,Brand Film / TVC,Advertising,Film,Turned oral care into youthful romance and a social ritual,https://www.youtube.com/results?search_query=Close-Up+Kya+Aap+Close-Up+Karte+Hain%3F+Indian+advertisement
56,1997,1990s,India,Coca-Cola,Eat-Sleep-Drink / early India work,McCann / Ogilvy era,,,Brand Film / TVC,Advertising,Film,Helped localise a global brand through Indian cultural cues,https://www.youtube.com/results?search_query=Coca-Cola+Eat-Sleep-Drink+%2F+early+India+work+Indian+advertisement
57,1998,1990s,India,Cadbury,Pappu Pass Ho Gaya,Ogilvy India,,,Brand Film / TVC,Advertising,Film,A simple human moment expanded the brand's emotional territory,https://www.youtube.com/results?search_query=Cadbury+Pappu+Pass+Ho+Gaya+Indian+advertisement
58,1998,1990s,India,Fevicol,Bus,Ogilvy India,Piyush Pandey team,,Brand Film / TVC,Advertising,Film,A perfect exaggeration of strength: instantly understandable and inherently funny,https://www.youtube.com/results?search_query=Fevicol+Bus+Indian+advertisement
59,1998,1990s,India,Hero Honda,Desh Ki Dhadkan,Ogilvy / agencies,,,Brand Film / TVC,Advertising,Film,Motorcycle category linked to national aspiration,https://www.youtube.com/results?search_query=Hero+Honda+Desh+Ki+Dhadkan+Indian+advertisement
60,1999,1990s,India,Airtel,Connecting People / early Airtel,Rediffusion / Lowe era,,,Brand Film / TVC,Advertising,Film,Established telecom as a relationship category rather than infrastructure,https://www.youtube.com/results?search_query=Airtel+Connecting+People+%2F+early+Airtel+Indian+advertisement
61,1999,1990s,India,Bajaj Pulsar,Definitely Male,Ogilvy India,,,Brand Film / TVC,Advertising,Film,A positioning line that made a motorcycle a statement of masculinity,https://www.youtube.com/results?search_query=Bajaj+Pulsar+Definitely+Male+Indian+advertisement
62,1999,1990s,India,Pepsi,Mera Dil Bole / cricket era,JWT India,,,Brand Film / TVC,Advertising,Film,"Cricket, celebrity and vernacular made Pepsi feel native to Indian youth culture",https://www.youtube.com/results?search_query=Pepsi+Mera+Dil+Bole+%2F+cricket+era+Indian+advertisement
63,1999,1990s,India,Pepsi,Cricket celebrity films,JWT India,,,Brand Film / TVC,Advertising,Film,Celebrity + cricket became a scalable youth entertainment engine,https://www.youtube.com/results?search_query=Pepsi+Cricket+celebrity+films+Indian+advertisement
64,2000,2000s,India,Coca-Cola,Thanda Matlab Coca-Cola,Ogilvy India,Prasoon Pandey / Aamir Khan films,,Brand Film / TVC,Advertising,Film,Turned a generic Hindi word into a brand asset through cultural fluency,https://www.youtube.com/results?search_query=Coca-Cola+Thanda+Matlab+Coca-Cola+Indian+advertisement
65,2000,2000s,India,Fevicol,Bus / rural humour series,Ogilvy India,Piyush Pandey team,,Brand Film / TVC,Advertising,Film,Demonstration + absurdity became a repeatable brand language,https://www.youtube.com/results?search_query=Fevicol+Bus+%2F+rural+humour+series+Indian+advertisement
66,2000,2000s,India,Hutch,Wherever You Go,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Telecom network quality made tangible through a companion character,https://www.youtube.com/results?search_query=Hutch+Wherever+You+Go+Indian+advertisement
67,2001,2000s,India,Airtel,Express Yourself,JWT / Rediffusion era,,,Brand Film / TVC,Advertising,Film,Music and human emotion made a telecom brand feel larger than its service,https://www.youtube.com/results?search_query=Airtel+Express+Yourself+Indian+advertisement
68,2001,2000s,India,Coke India,Thanda Matlab Coca-Cola,Ogilvy India,Prasoon Pandey,,Brand Film / TVC,Advertising,Film,Cultural language became a brand property,https://www.youtube.com/results?search_query=Coke+India+Thanda+Matlab+Coca-Cola+Indian+advertisement
69,2001,2000s,India,Pepsi,Mera Number Kab Aayega?,JWT India,,,Brand Film / TVC,Advertising,Film,A universally understood aspiration turned into a catchy cultural phrase,https://www.youtube.com/results?search_query=Pepsi+Mera+Number+Kab+Aayega%3F+Indian+advertisement
70,2002,2000s,India,Asian Paints,Har Ghar Kuch Kehta Hai,Ogilvy India,Piyush Pandey,,Brand Film / TVC,Advertising,Film,Shifted paint from functional category to stories about homes and people,https://www.youtube.com/results?search_query=Asian+Paints+Har+Ghar+Kuch+Kehta+Hai+Indian+advertisement
71,2002,2000s,India,Hutch,You and I in This Beautiful World,Ogilvy India,Piyush Pandey team,,Brand Film / TVC,Advertising,Film,Minimal narrative + dog + song made connection feel tangible,https://www.youtube.com/results?search_query=Hutch+You+and+I+in+This+Beautiful+World+Indian+advertisement
72,2002,2000s,India,Tata Tea,Jaago Re,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Built a long-term social platform around awakening and citizenship,https://www.youtube.com/results?search_query=Tata+Tea+Jaago+Re+Indian+advertisement
73,2003,2000s,India,Hero Honda,Desh Ki Dhadkan,Ogilvy / agencies,,,Brand Film / TVC,Advertising,Film,Long-term brand positioning through a national metaphor,https://www.youtube.com/results?search_query=Hero+Honda+Desh+Ki+Dhadkan+Indian+advertisement
74,2003,2000s,India,Hutch,Pug / Wherever You Go,Ogilvy India,,,Brand Film / TVC,Advertising,Film,A dog became a mnemonic for network reliability and companionship,https://www.youtube.com/results?search_query=Hutch+Pug+%2F+Wherever+You+Go+Indian+advertisement
75,2003,2000s,India,Mentos,Dimag Ki Batti Jala De,Perfetti / agency teams,,,Brand Film / TVC,Advertising,Film,Product benefit became a comic behavioural transformation,https://www.youtube.com/results?search_query=Mentos+Dimag+Ki+Batti+Jala+De+Indian+advertisement
76,2004,2000s,India,Airtel,Friendship / youth campaigns,JWT India,,,Brand Film / TVC,Advertising,Film,Used music and friendship to humanise a telecom utility,https://www.youtube.com/results?search_query=Airtel+Friendship+%2F+youth+campaigns+Indian+advertisement
77,2004,2000s,India,Amul,Topical 4-decade archive picks,DaCunha Communications,,,Brand Film / TVC,Advertising,Film,The discipline of reacting to culture quickly while keeping one visual language,https://www.youtube.com/results?search_query=Amul+Topical+4-decade+archive+picks+Indian+advertisement
78,2004,2000s,India,Tata Tea,Jaago Re,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Brand purpose before purpose became a buzzword,https://www.youtube.com/results?search_query=Tata+Tea+Jaago+Re+Indian+advertisement
79,2005,2000s,India,Happydent,Palace,Ogilvy India,Piyush Pandey team,,Brand Film / TVC,Advertising,Film,An extreme visual metaphor for the product promise; almost no explanation needed,https://www.youtube.com/results?search_query=Happydent+Palace+Indian+advertisement
80,2005,2000s,India,Hutch,Pug - Wherever You Go,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Minimalism and a visual mnemonic created enormous recall,https://www.youtube.com/results?search_query=Hutch+Pug+-+Wherever+You+Go+Indian+advertisement
81,2005,2000s,India,Vodafone,You & I / Hutch transition,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Showed how a brand can preserve emotional equity through a rebrand,https://www.youtube.com/results?search_query=Vodafone+You+%26+I+%2F+Hutch+transition+Indian+advertisement
82,2006,2000s,India,Airtel,Express Yourself,JWT India,,,Brand Film / TVC,Advertising,Film,Brand music became as important as brand logo,https://www.youtube.com/results?search_query=Airtel+Express+Yourself+Indian+advertisement
83,2006,2000s,India,Cadbury Dairy Milk,Kuch Meetha Ho Jaaye,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Turned a product into a social ritual around celebration,https://www.youtube.com/results?search_query=Cadbury+Dairy+Milk+Kuch+Meetha+Ho+Jaaye+Indian+advertisement
84,2006,2000s,India,Vodafone,Pug series,Ogilvy India,,,Brand Film / TVC,Advertising,Film,One visual device carried an entire brand proposition,https://www.youtube.com/results?search_query=Vodafone+Pug+series+Indian+advertisement
85,2007,2000s,India,Airtel,Barriers,Rediffusion Y&R India,,,Brand Film / TVC,Advertising,Film,A simple human story used telecom infrastructure as an emotional enabler,https://www.youtube.com/results?search_query=Airtel+Barriers+Indian+advertisement
86,2007,2000s,India,Idea,What An Idea Sirji,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Made network usefulness the source of entertainment,https://www.youtube.com/results?search_query=Idea+What+An+Idea+Sirji+Indian+advertisement
87,2008,2000s,India,Tata Tea,Jaago Re - election / citizen work,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Brand purpose became participation rather than a product claim,https://www.youtube.com/results?search_query=Tata+Tea+Jaago+Re+-+election+%2F+citizen+work+Indian+advertisement
88,2008,2000s,India,Vodafone,ZooZoos,Ogilvy India,Prasoon Pandey / Ogilvy team,,Brand Film / TVC,Advertising,Film,Invented a visual language that was cheap-looking by design but massively memorable,https://www.youtube.com/results?search_query=Vodafone+ZooZoos+Indian+advertisement
89,2008,2000s,India,Vodafone,ZooZoos - services series,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Character consistency + visual storytelling made functional features entertaining,https://www.youtube.com/results?search_query=Vodafone+ZooZoos+-+services+series+Indian+advertisement
90,2008,2000s,India,Vodafone,ZooZoo - cricket season,Ogilvy India,Prasoon Pandey,,Brand Film / TVC,Advertising,Film,Character design became the media asset,https://www.youtube.com/results?search_query=Vodafone+ZooZoo+-+cricket+season+Indian+advertisement
91,2009,2000s,India,Airtel,Dosti / music era,JWT India,,,Brand Film / TVC,Advertising,Film,"Music, emotion and social behaviour made the network invisible",https://www.youtube.com/results?search_query=Airtel+Dosti+%2F+music+era+Indian+advertisement
92,2009,2000s,India,Airtel,Dosti / network films,JWT India,,,Brand Film / TVC,Advertising,Film,Music and emotion made a functional network human,https://www.youtube.com/results?search_query=Airtel+Dosti+%2F+network+films+Indian+advertisement
93,2009,2000s,India,Google India,India-focused early search work,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Started showing how a utility could become a human story,https://www.youtube.com/results?search_query=Google+India+India-focused+early+search+work+Indian+advertisement
94,2009,2000s,India,Vodafone,ZooZoo - full series,Ogilvy India,,,Brand Film / TVC,Advertising,Film,A collection of tiny films that built a single memorable world,https://www.youtube.com/results?search_query=Vodafone+ZooZoo+-+full+series+Indian+advertisement
95,2010,2010s,India,Airtel,Har Ek Friend Zaroori Hota Hai,JWT India,,,Brand Film / TVC,Advertising,Film,A category truth became a social truth and a song people repeated,https://www.youtube.com/results?search_query=Airtel+Har+Ek+Friend+Zaroori+Hota+Hai+Indian+advertisement
96,2010,2010s,India,Idea,Walk When You Talk,Ogilvy India,,,Brand Film / TVC,Advertising,Film,A behavioural insight turned into a memorable visual demonstration,https://www.youtube.com/results?search_query=Idea+Walk+When+You+Talk+Indian+advertisement
97,2011,2010s,India,Google India,Reunion,Ogilvy India,Amit Sharma,,Brand Film / TVC,Advertising,Film,Technology disappears into a deeply human Partition reunion story,https://www.youtube.com/results?search_query=Google+India+Reunion+Indian+advertisement
98,2011,2010s,India,Google India,Helping Women Get Back to Work,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Search functionality becomes a story about opportunity,https://www.youtube.com/results?search_query=Google+India+Helping+Women+Get+Back+to+Work+Indian+advertisement
99,2012,2010s,India,Dove,Real Beauty Sketches,Ogilvy Brazil / India visibility,,,Brand Film / TVC,Advertising,Film,A global platform that changed the language of beauty advertising,https://www.youtube.com/results?search_query=Dove+Real+Beauty+Sketches+Indian+advertisement
100,2012,2010s,India,Dove,Real Beauty / India work,Ogilvy,,,Brand Film / TVC,Advertising,Film,Brand purpose rooted in a human tension,https://www.youtube.com/results?search_query=Dove+Real+Beauty+%2F+India+work+Indian+advertisement
101,2012,2010s,India,Tanishq,Remarriage,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Progressive social insight integrated naturally into a jewellery story,https://www.youtube.com/results?search_query=Tanishq+Remarriage+Indian+advertisement
102,2013,2010s,India,Ariel,Share The Load,BBDO India,Sandeep Goyal / BBDO team,,Brand Film / TVC,Advertising,Film,Turned a household product into a cultural conversation about gender,https://www.youtube.com/results?search_query=Ariel+Share+The+Load+Indian+advertisement
103,2013,2010s,India,Google India,Reunion,Ogilvy India,Amit Sharma,,Brand Film / TVC,Advertising,Film,A masterclass in integrating product utility without making it feel like a demo,https://www.youtube.com/results?search_query=Google+India+Reunion+Indian+advertisement
104,2014,2010s,India,Happydent,Palace / Smile Strong,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Shows how a single product truth can support surreal world-building,https://www.youtube.com/results?search_query=Happydent+Palace+%2F+Smile+Strong+Indian+advertisement
105,2014,2010s,India,Tanishq,Ekatvam,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Cultural diversity became the creative idea rather than decoration,https://www.youtube.com/results?search_query=Tanishq+Ekatvam+Indian+advertisement
106,2015,2010s,India,Ariel,Share The Load,BBDO India,,,Brand Film / TVC,Advertising,Film,A product category became a platform for challenging domestic roles,https://www.youtube.com/results?search_query=Ariel+Share+The+Load+Indian+advertisement
107,2015,2010s,India,Surf Excel,Daag Acche Hain - Holi / friendship,Ogilvy India,,,Brand Film / TVC,Advertising,Film,"Product category is reframed around childhood, mess and moral choice",https://www.youtube.com/results?search_query=Surf+Excel+Daag+Acche+Hain+-+Holi+%2F+friendship+Indian+advertisement
108,2015,2010s,India,Surf Excel,Daag Acche Hain,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Long-running platform where product truth and moral truth reinforce each other,https://www.youtube.com/results?search_query=Surf+Excel+Daag+Acche+Hain+Indian+advertisement
109,2016,2010s,India,CRED,Early brand voice / financial humour,DDB / in-house era,,,Brand Film / TVC,Advertising,Film,Early examples of fintech-adjacent brands using culture rather than feature lists,https://www.youtube.com/results?search_query=CRED+Early+brand+voice+%2F+financial+humour+Indian+advertisement
110,2016,2010s,India,Tanishq,Marriage / progressive India work,Ogilvy India,,,Brand Film / TVC,Advertising,Film,Luxury positioning through culturally nuanced storytelling,https://www.youtube.com/results?search_query=Tanishq+Marriage+%2F+progressive+India+work+Indian+advertisement
111,2016,2010s,India,Vicks,Touch of Care,Publicis / Grey era,,,Brand Film / TVC,Advertising,Film,Healthcare product became a human story about family and acceptance,https://www.youtube.com/results?search_query=Vicks+Touch+of+Care+Indian+advertisement
